H ,P ,V ,F ,G ,A ,S ,R ,M 
Ne ,Ne ,Ne ,Ne ,Ne ,Ne ,Ne ,Ne ,Ne 
doit ,doit ,doit ,doit ,doit ,doit ,doit ,doit ,doit 
an ,on ,l’en ,l’on ,l’en ,on ,on ,on ,on 
feire ,faire ,fere ,faire ,fere ,faire ,faire ,faire ,fere 
se ,se ,se ,se ,se ,se ,se ,se ,se 
mal ,mal ,mal ,mal ,mal ,mal ,mal ,mal ,mal 
non,non,non,non,non,non,non,non,non
,,,,,,,,
,,,,,,,,
,,,,,,,,
