V,S ,R ,P,M ,H,G,F,A
et ,il ,lors ,il ,de ,lors ,lors ,et ,dire 
dire ,dire ,dire ,dire ,le ,dire ,dire ,dire ,que4 
que4 ,que4 ,que4 ,que4 ,part1 ,que4 ,a3+le ,a3+le ,le 
a3+le ,a3+le ,a3+le ,a3+le ,a3+le ,a3+le ,lïon ,lïon ,lïon 
lïon ,lïon ,lïon ,lïon ,lïon ,lïon ,il ,soi1 ,secorre1 
secorre1 ,secorre1 ,secorre1 ,aidier ,estre1 ,soi1 ,faire ,tenir1 ,
