V,S ,R ,P,M ,H,G,F,A
auques ,auques ,auques ,auques ,auques ,auques ,auques ,auques ,a3+le 
de+le ,de ,de+le ,de+le ,de+le ,de ,de+le ,de+le ,quel1 
dos ,dos ,dos ,dos ,dos ,a3+le ,dos ,dos ,de+le 
il ,il ,il ,il ,aidier ,dos ,il ,il ,deus 
aidier ,aidier ,aidier ,aidier ,,il ,aidier ,aidier ,il 
,,,,,aidier ,,,aidier 
