V,S ,R ,P,M ,H,G,F,A
ne1 ,ne1 ,ne1 ,ne1 ,ne1 ,ne1 ,ne1 ,ne1 ,ne1 
devoir ,devoir ,devoir ,devoir ,devoir ,devoir ,devoir ,devoir ,devoir 
le ,on ,on ,on ,on ,on ,le ,le ,on 
on ,faire ,faire ,faire ,faire ,faire ,on ,on ,faire 
faire ,se ,se ,se ,se ,se ,faire ,faire ,se 
se ,mal1 ,mal1 ,non ,mal1 ,mal1 ,se ,se ,mal1 
mal1 ,non ,non ,,non ,non ,mal1 ,mal1 ,non 
non ,,,,,,non ,non ,
