H ,P ,V ,F ,G ,A ,S ,R ,M 
A ,A ,A ,A ,A ,A ,A ,A ,A 
lui ,lui ,lui ,li ,soi ,lui ,lui ,soi ,lui 
meismes ,meismes ,meismes ,meisme ,meismes ,meisme ,meisme ,meisme ,meismes 
se ,se ,se ,se ,se ,se ,se ,se ,se 
consoille,conseille,conselle,conselle,conseille,consele,conseille,conselle,conseille
