H ,P ,V ,F ,G ,A ,S ,R ,M 
Lors ,Lor ,Et ,Et ,Lors ,Dist ,Il ,Lors ,De 
dit ,dist ,dit ,dist ,dit ,que ,dist ,dist ,la 
qu’au ,c’au ,q’au ,au ,au ,le ,c’au ,c’al ,part 
lyon ,lyon ,leon ,lion ,lyon ,lion ,lion ,lion ,au 
se ,aidera,secorra,se ,le ,secoura,secourra,secolra,lyon 
tanra,,,tendra,fera,,,,sera
