V,S ,R ,P,M ,H,G,F,A
que4 ,car ,que4 ,que4 ,que4 ,que4 ,que4 ,que4 ,que4 
a3 ,a3 ,a3 ,a3 ,a3 ,a3 ,a3 ,a3 ,a3+le 
et ,venimos ,ne2 ,enoios ,nul ,venimos ,venimos ,venimos ,venimos 
a3 ,ne2 ,felon ,et ,mauvais ,ne2 ,et ,et ,ne2 
felon ,a3 ,,a3 ,ne2 ,a3 ,a3 ,felon ,a3+le 
,felon ,,felon ,a3 ,felon ,felon ,,felon 
,,,,felon ,,,,
